Landsdel;Museer og Besøgssteder;Hovedmuseum;Museumstype;Museumskategori;Museumsnavn;Besøgende; Udstilling i alt;Besøgende 18 år og derover; fuld pris;Besøgende 18 år og derover; reduceret pris (inkl. årskort);Besøgende 18 år og derover; gratis;"Besøgende u. 18 år, 
ej undervisning";"Besøgende u. 18 år, 
undervisning";Besøgende; uspecificeret;Besøgende; Besøgssted;Åbningstimer;Antal arrangementer;Deltagere til arrangementer i alt;Deltagere u. 18 år; undervisning;Deltagere u. 18 år; undervisning;Deltagere;18 år og derover eller uspecificeret;Antal online arrangementer (livestream);Deltagere til online arrangementer;Bemærkning;;;;;
Byen København;Museum;;Statslig i henhold til museumsloven;Kunstmuseum;Den Hirschsprungske Samling;48.810;27.428;11.511;3.677;550;5.644;0;48.810;1.045;5;390;0;30;360;0;0;;;;;;;;;;;;;;;
Byen København;Museum;;Statslig i henhold til museumsloven;Naturhistorisk museum;Statens Naturhistoriske Museum;460.807;229.785;124.278;9.756;84.745;12.243;0;460.807;5.730;0;0;0;0;0;0;0;Derudover har der været 685.626 besøgende i Botanisk Have;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Kastrupgårdsamlingen;15.192;0;0;12.109;1.655;1.428;0;15.192;1.392;1;51;0;30;21;0;0;;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Dansk Jødisk Museum;6.635;3.693;2.487;0;379;76;0;6.635;480;14;387;0;0;387;1;296;;;;;;;;;;;;;;;
Byen København;Museum;;Statslig i henhold til museumsloven;Kunstmuseum;Statens Museum for Kunst;498.505;91.535;130.538;209.078;29.759;37.595;0;498.505;2.554;0;0;0;0;0;3;528;;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Ny Carlsberg Glyptotek;449.147;119.554;58.944;245.068;22.138;3.443;0;449.147;2.385;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Amagermuseet;17.742;4.233;804;6.051;2.191;4.463;0;21.620;416;52;364;0;62;302;0;0;;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Designmuseum Danmark;148.447;76.605;43.652;15.648;9.218;3.324;0;215.356;1.350;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Arbejdermuseet;117.636;38.914;9.812;30.414;17.847;20.649;0;117.636;2.500;67;1.370;1.320;50;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;De danske kongers kronologiske samling;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Rosenborgsamlingen;325.609;139.849;121.586;12.936;50.847;391;0;325.609;1.989;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;De danske kongers kronologiske samling;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;"Amalienborg Museet  Christian VIII""s Palæ";216.260;110.562;69.540;13.941;20.386;1.831;0;216.260;2.259;0;0;0;0;0;1;4.188;;;;;;;;;;;;;;;
Byen København;Besøgssted;Frederiksbergmuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Bakkehuset;10.161;3.403;2.503;2.712;616;927;0;26.733;1.970;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Frederiksbergmuseerne;Statsanderkendt i henhold til museumsloven;Museumslignende institution;Møstings Hus;9.304;0;0;8.744;453;107;0;9.304;1.600;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Frederiksbergmuseerne;Statsanderkendt i henhold til museumsloven;Museumslignende institution;Cisternerne;93.946;51.822;24.452;7.333;6.621;3.718;0;93.946;1.690;9;180;0;0;180;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Frederiksbergmuseerne;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Storm P. Museet;17.857;9.048;3.559;3.261;877;1.112;0;17.857;1.850;28;5.184;3.108;150;1.926;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Kunst og Historie;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Thorvaldsens Museum;65.213;17.526;4.937;32.898;3.248;6.604;0;65.213;2.044;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Kunst og Historie;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Københavns Museum;74.029;29.514;706;28.942;8.644;6.223;0;91.345;3.276;200;3.586;62;100;3.424;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Christiansborg Slot;507.682;0;0;0;0;0;507.682;507.682;2.555;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Krigsmuseet;62.121;0;0;0;0;0;62.121;62.121;2.205;7;59;0;2;57;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Kongernes Lapidarium;5.411;0;0;0;0;0;5.411;5.411;130;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Musikmuseet;279;0;0;0;0;0;279;279;0;0;0;0;0;0;0;0;Museet har ikke haft en normal åbningstid;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Frihedsmuseet;62.128;0;0;0;0;0;62.128;62.128;2.233;30;629;200;35;394;0;0;;;;;;;;;;;;;;;
Byen København;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Prinsens Palais;304.985;0;0;0;0;0;304.985;304.985;2.334;6;4.856;150;1;4.705;4;660;;;;;;;;;;;;;;;
Københavns Omegn;Museum;;Statslig i henhold til museumsloven;Kunstmuseum;Ordrupgaard;87.427;58.897;19.364;3.824;4.389;953;0;97.000;1.562;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Københavns Omegn;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;ARKEN Museum for Moderne Kunst;102.348;41.176;28.920;14.438;9.973;7.841;0;102.348;2.400;31;545;447;0;98;0;0;;;;;;;;;;;;;;;
Københavns Omegn;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Kroppedal Museum;5.886;1.771;8;1.986;982;1.139;0;16.215;1.352;50;1.304;1.015;54;235;15;295;;;;;;;;;;;;;;;
Københavns Omegn;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Frilandsmuseet;163.015;0;0;0;0;0;163.015;163.015;1.371;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;M/S museet for Søfart;93.262;27.097;33.495;4.062;21.050;5.915;1.643;95.681;1.946;118;3.256;1.721;585;950;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;J. F. Willumsens Museum;17.942;10.340;0;4.162;1.463;1.977;0;17.942;2.186;3;200;75;0;125;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;NIVAAGAARDS MALERISAMLING;53.163;9.309;35.046;5.783;1.967;1.058;0;53.163;2.322;20;829;599;125;105;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Helsingør Kommunes Museer;9.487;3.334;281;592;1.199;4.081;0;12.418;480;53;1.260;0;0;1.260;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Furesø Museer;34.213;0;0;25.997;3.536;4.680;0;34.213;1.657;11;16.935;0;1.050;15.885;6;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Industrimuseet Frederiks Værk & Knud Rasmussens Hus;24.336;10.298;0;11.153;2.140;745;0;24.336;800;21;1.098;0;0;1.098;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Danmarks Tekniske Museum;59.561;16.953;8.616;5.019;16.331;12.642;0;59.561;2.066;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Rudersdal Museer;8.596;818;1.477;2.525;1.967;1.809;0;8.596;2.564;16;355;0;0;355;0;0;;;;;;;;;;;;;;;
Nordsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Louisiana Museum for Moderne Kunst;612.992;198.622;299.609;40.318;61.763;12.680;0;612.992;2.884;11;398;138;0;260;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Folkemuseet i Hillerød;2.893;475;0;1.308;447;663;0;2.893;980;8;162;0;0;162;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Det Gamle Hus/Skibshallerne;1.937;1.079;0;305;202;351;0;1.937;555;10;507;18;0;489;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Nordsjælland Hørsholm;3.161;414;0;2.285;380;82;0;4.161;794;15;6.081;36;150;5.895;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Æbelholt Kloster museum;1.373;569;0;573;231;0;0;1.373;384;4;275;0;10;265;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Elværket;1.339;374;0;521;400;44;0;1.339;745;62;11.076;434;300;10.342;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Museum Nordsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Fyrhistorisk Museum;5.208;3.147;0;881;1.108;72;0;5.208;800;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Kronborg Slot;253.416;0;0;0;0;0;253.416;253.416;2.620;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Nordsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Frederikssund Museum;4.411;329;328;1.036;1.126;1.592;0;7.336;994;5;742;0;0;742;0;0;;;;;;;;;;;;;;;
Bornholm;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;BORNHOLMS KUNSTMUSEUM;34.376;19.833;6.414;3.204;2.940;1.985;0;34.376;1.847;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;gaarden - Bornholms Madkulturhus;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Landbrugsmuseet på Melstedgård;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Melsted Mølle;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Landbrugsmuseet på Melstedgård;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Landbrugsmuseet på Melstedgård;17.111;3.218;1.790;10.393;1.231;479;0;17.111;922;19;1.506;0;15;1.491;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Kulturhistorisk Museum Rønne;12.340;4.808;3.542;1.569;1.073;1.348;0;13.940;1.591;93;2.619;478;22;2.119;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hjorths Fabrik  Bornholms Keramikmuseum;25.009;3.392;4.291;15.612;1.427;287;0;25.009;1.800;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Erichsens Gård;4.965;767;1.790;2.408;0;0;0;4.965;322;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Greve Museum;20.401;3.899;2.265;6.233;4.029;3.975;0;20.401;2.506;23;1.424;165;65;1.194;0;0;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Vikingeskibsmuseet;159.761;41.092;67.142;13.191;29.755;8.581;0;159.761;2.276;762;11.962;0;5.000;6.962;6;184;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Museet for Samtidskunst;7.678;0;0;7.374;239;65;0;7.678;256;15;82.789;0;342;82.447;0;0;Af museets hjemmesidebrugere i 2022 var 21.871 besøgende på The Wrestlers (enten gennem museets online udstilling eller som brugere af udstillingens QR-kode) og 3.952 var besøgende på Zoba´ah: Hvirvelvinden (enten gennem museets online udstilling eller som brugere af udstillingens QR-kode) og 2.400 var lyttere af museets podcasts/lydværker.;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;KØS Museum for Kunst i Det Offentlige Rum;28.322;2.586;348;23.311;245;1.832;0;32.162;1.770;2;400;0;0;400;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Køge Museum;33.959;5.090;6.825;3.252;17.738;1.054;0;38.273;1.810;40;600;0;0;600;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Danmarks Rockmuseum;43.318;6.657;16.461;3.513;8.556;8.131;0;82.311;2.281;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Tadre Mølle Museum;9.305;2.401;0;5.013;1.891;0;0;14.689;450;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Lützhøfs Købmandsgård;14.180;0;0;11.029;2.356;795;0;14.180;1.078;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Lejre Museum;6.172;1.268;1.268;1.681;782;1.173;0;14.341;1.250;11;328;0;0;328;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Roskilde Museum;16.489;3.140;3.120;3.697;1.400;5.132;0;31.086;1.772;1;47;0;0;47;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Sankt Laurentius;3.727;589;588;665;1.039;846;0;5.520;528;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Fuglsang Kunstmuseum;24.376;8.653;7.112;4.461;1.945;2.205;0;28.862;1.594;6;214;75;0;139;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Sorø Kunstmuseum;14.560;6.997;3.006;1.220;1.077;2.260;0;20.467;1.800;1;1.089;0;500;589;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Obscurum; Falsters Minder;17.486;3.195;660;10.174;2.882;575;0;17.486;1.556;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Reventlow-Museet Pederstrup;4.355;1.060;1.829;1.012;236;218;0;4.355;471;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;De gamle huse; frilandsmuseet;13.067;4.381;2.327;2.491;2.383;1.485;0;13.067;917;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Stiftmuseet; Maribo;6.644;1.343;795;3.384;785;337;0;6.644;1.276;79;1.116;0;67;1.049;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Helligåndshuset Næstved Museum;1.282;400;459;11;139;273;0;3.404;990;12;279;211;0;68;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museumsgården; Kjeldbylille;2.307;680;655;430;542;0;0;2.807;618;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Køng Museum;2.015;538;346;1.088;43;0;0;2.015;208;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Thorvaldsen-Samlingen på Nysø;1.597;618;623;84;60;212;0;1.597;290;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Møns Museum;9.791;644;1.237;4.950;2.922;38;0;18.378;954;1;25;0;0;25;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Holmegaard Værk;75.671;15.083;33.173;9.329;15.718;2.368;0;77.034;2.185;5;618;0;0;618;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Danmarks Borgcenter;133.152;9.817;9.915;79.608;30.278;3.534;0;161.560;1.550;21;2.435;227;800;1.408;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Skælskør Bymuseum;3.615;0;0;3.342;273;0;0;3.615;190;2;95;0;0;95;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Slagelse Museum;3.079;294;198;1.022;1.022;543;0;5.844;954;15;1.022;21;4;997;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Ringsted Museum;1.580;415;292;141;575;157;0;2.879;838;23;31.494;0;11.013;20.481;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Flakkebjerg Skolemuseum;509;0;0;143;0;366;0;509;120;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Odsherreds Museum;4.325;1.272;1.018;1.081;779;175;0;8.150;1.056;7;804;0;440;364;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Odsherreds kunstmuseum Hvide Hus;3.327;675;1.425;264;218;745;0;3.529;1.248;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Malergården;6.754;2.099;3.811;321;500;23;0;6.839;876;1;45;0;0;45;0;0;;;;;;;;;;;;;;;
